id,audio_path,reference,wav2vec_pred
1,data/audio/test1.wav,i think lah this one better we do tomorrow,i tingla tis one bet te itu to moro
2,data/audio/test2.wav,why you never reply my message just now,why you never we blame y maysis just now
3,data/audio/test3.wav,this part susah sikit i need more time,despart sussasci kid and eat morth nine
4,data/audio/test4.wav,you boleh tolong explain this part tak,you bulito loge splendi spite da
5,data/audio/test5.wav,i try already but still tak jalan,i try a redee but still that yo letn
6,data/audio/test6.wav,maybe kita boleh buat cara lain,maybe kithi wil live wacerelan
7,data/audio/test7.wav,eh actually i think this one can lah,e atoly i think the slankin la
8,data/audio/test8.wav,aiya i forgot to bring my laptop today,aya i forgot to wi myn tat pov guday
9,data/audio/test9.wav,hmm maybe we try again later,o waitin gain tired gainly gruw
10,data/audio/test10.wav,okay lah we do it this way,o cant thou regrat this ray
11,data/audio/test11.wav,like that also can no problem,lake it also can lopau bo
12,data/audio/test12.wav,i think benda ni boleh siap kot hari ni,i thieven lely bodisiaccor phyrini
13,data/audio/test13.wav,tadi lecturer explain laju sangat tak sempat nak faham,tha de lik ii spain tha do sana thasam bat nafraham
14,data/audio/test14.wav,kalau awak free kita boleh jumpa sekejap,allah ah afri tgeed the boy to vos of the dat
15,data/audio/test15.wav,assignment ni ambil masa lama sikit,i in minthe be muffer ta musky gap
16,data/audio/test16.wav,he promise nak hantar tapi sampai sekarang tak ada,he promised a hand thought a piecion vicacri tade
17,data/audio/test17.wav,i don’t really get what the lecturer nak,i don't really get what electure i not
18,data/audio/test18.wav,this question very confusing sumpah,this question is very confusing supa
19,data/audio/test19.wav,i was supposed to finish this semalam,i was supposed to finish dis malom
20,data/audio/test20.wav,can you help me check if this is correct atau tak,can ye help me check if this is corette a dadat
21,data/audio/test21.wav,the instructions tak jelas,the instructions tat a nerse
22,data/audio/test22.wav,i think kita kena to redo this part,i think you tegenoridudi spat
23,data/audio/test23.wav,this place quite far lah need to drive,this place quite far la mit to drife
24,data/audio/test24.wav,you free later or not i want to ask something,you freely tonot and want to ask something
25,data/audio/test25.wav,today traffic damn bad i was late,the detrafic dam bet i was lat
26,data/audio/test26.wav,i don’t really understand what the lecturer wants,i don't re understand what the lecturel wants
27,data/audio/test27.wav,this part i think we need to change a bit,this part i think we need to change a bief
28,data/audio/test28.wav,i was supposed to send it yesterday but forgot,i was so posely sended yesterday an but forgot
29,data/audio/test29.wav,the explanation not very clear honestly,the explanation not very clear honestly
30,data/audio/test30.wav,i already told you yesterday you forgot is it,i already toll you yesa da you fegisi
31,data/audio/test31.wav,this food not bad lah but a bit expensive,yes we not bad law budy bill expents him
32,data/audio/test32.wav,you wait for me five minutes can or not,wa for me fo mes can i not
33,data/audio/test33.wav,i’m very tired today didn’t sleep well,iam very tired to deed insy well
34,data/audio/test34.wav,that one i don’t really understand honestly,thou and i don't reathe unditenanty
35,data/audio/test35.wav,saya rasa assignment ni susah sikit lah,siasti as im any succescy now
36,data/audio/test36.wav,tadi dia cakap nak jumpa tapi tak confirm lagi,the eady chacon as you would thepedegrophoni
37,data/audio/test37.wav,later kita pergi makan dulu then only discuss,te te he tul be ma e leu dead an the discussed
38,data/audio/test38.wav,i already submit the assignment tapi tak sure betul ke tak,i already summetis i made teve that she wuld dic it up
39,data/audio/test39.wav,kalau macam ni i think better we wait dulu,co no maconnie i think bet ting we me doyou
40,data/audio/test40.wav,dia cakap nak datang but suddenly cancel,de jacot night at them by san indikencil
41,data/audio/test41.wav,this one ah quite hard to explain,disin ar quite heartless blin
42,data/audio/test42.wav,you see first then tell me how,eusephus then tell me how
43,data/audio/test43.wav,i not very sure about this one,i'm not a very sure about dis one
44,data/audio/test44.wav,why suddenly cannot work already,why said any cot wick or ideed
45,data/audio/test45.wav,you do finish already or still doing,you to finny shuridy or still go in
46,data/audio/test46.wav,that time he say can now change again,let time he seek cain nol change again
47,data/audio/test47.wav,this one ah got problem somewhere,disuennar got broem somewhere
48,data/audio/test48.wav,you try again slowly can or not,you try again slowly cannon arm
49,data/audio/test49.wav,this one memang confusing i also lost,dis uan miman confusing i also was
50,data/audio/test50.wav,you boleh explain again slower tak,you willyesplean again slower the dup
51,data/audio/test51.wav,i thought dah betul but actually wrong,i thought ta itol varectually wrong
52,data/audio/test52.wav,kalau like this then we redo everything,callonat dis then wedy re do everything
53,data/audio/test53.wav,i check already tapi still got error,ichegoredi ta piste goereur
54,data/audio/test54.wav,maybe kita fix this part first,maybe ke to fix tee put first slow
55,data/audio/test55.wav,dia say okay but i rasa something off,do you see oqi but erasu something off
56,data/audio/test56.wav,i try follow step tu but tak boleh,i trifle or upstep too but at wol ned
57,data/audio/test57.wav,i think this part is slightly wrong lah,i think despitely slightly wrong la
58,data/audio/test58.wav,the answer doesn’t really make sense,the answer does only make servants
59,data/audio/test59.wav,i might have done this wrongly tapi tengok lah,i might have done this wrongly the pe thingola
60,data/audio/test60.wav,this looks okay but i tak berapa sure,this looks o key but ai the abruptly shol
61,data/audio/test61.wav,we probably need to adjust this part sikit kot,we prob'bly meet to edge as these sparksy kick court
