id,audio_path,reference,wav2vec_lm_pred
1,data/audio/test1.wav,i think lah this one better we do tomorrow,itingladisone beteittomoro
2,data/audio/test2.wav,why you never reply my message just now,why youneverweblam ymaysisjust now
3,data/audio/test3.wav,this part susah sikit i need more time,despartsussaci kid morthnine
4,data/audio/test4.wav,you boleh tolong explain this part tak,yobulitologe splendispite dut
5,data/audio/test5.wav,i try already but still tak jalan,i tryaredee but stillthayole
6,data/audio/test6.wav,maybe kita boleh buat cara lain,maybekithiwi livewacerla
7,data/audio/test7.wav,eh actually i think this one can lah,eacholy ithinkteslankin la
8,data/audio/test8.wav,aiya i forgot to bring my laptop today,aya iforgotto wimylapovuda
9,data/audio/test9.wav,hmm maybe we try again later,waitigintire
10,data/audio/test10.wav,okay lah we do it this way,ocanthou regreatthis ray
11,data/audio/test11.wav,like that also can no problem,lakitalsoca lopabo
12,data/audio/test12.wav,i think benda ni boleh siap kot hari ni,itieveebodisiac corphyrini
13,data/audio/test13.wav,tadi lecturer explain laju sangat tak sempat nak faham,tabelikispain tajosantasbat nafraham
14,data/audio/test14.wav,kalau awak free kita boleh jumpa sekejap,allahahlafri theboytovos thedat
15,data/audio/test15.wav,assignment ni ambil masa lama sikit,ifiinebmufea muskygape
16,data/audio/test16.wav,he promise nak hantar tapi sampai sekarang tak ada,he promisedahand thoughtapiciof vicacritade
17,data/audio/test17.wav,i don’t really get what the lecturer nak,idon't reallyget whatelectur
18,data/audio/test18.wav,this question very confusing sumpah,this question is very confusing supa
19,data/audio/test19.wav,i was supposed to finish this semalam,iwassupposed to finishismalom
20,data/audio/test20.wav,can you help me check if this is correct atau tak,canye help mechekftisis corettadada
21,data/audio/test21.wav,the instructions tak jelas,theinstructions tatanerse
22,data/audio/test22.wav,i think kita kena to redo this part,i thinkyodenori dudispat
23,data/audio/test23.wav,this place quite far lah need to drive,thisplace quitefarla mittodrife
24,data/audio/test24.wav,you free later or not i want to ask something,youfreely tornon and want to asksomething
25,data/audio/test25.wav,today traffic damn bad i was late,tedetrafficdambet iwaslat
26,data/audio/test26.wav,i don’t really understand what the lecturer wants,idon'treunderstand what lecturel wants
27,data/audio/test27.wav,this part i think we need to change a bit,thispark i think we needtochange abif
28,data/audio/test28.wav,i was supposed to send it yesterday but forgot,i wassoposely ended yesterday butforgot
29,data/audio/test29.wav,the explanation not very clear honestly,theexplanation notvery clear honestly
30,data/audio/test30.wav,i already told you yesterday you forgot is it,ivalready tollyouyesada youfogisi
31,data/audio/test31.wav,this food not bad lah but a bit expensive,yeswenot badlaw badybillexpes him
32,data/audio/test32.wav,you wait for me five minutes can or not,waformefomes caninot
33,data/audio/test33.wav,i’m very tired today didn’t sleep well,i'mverytired todeinsywel
34,data/audio/test34.wav,that one i don’t really understand honestly,thouwanidon't reteunditenanty
35,data/audio/test35.wav,saya rasa assignment ni susah sikit lah,ziastiasim anysuccescy now
36,data/audio/test36.wav,tadi dia cakap nak jumpa tapi tak confirm lagi,teedycacon asyou would epedegoponi
37,data/audio/test37.wav,later kita pergi makan dulu then only discuss,letehecube ludeadone discussd
38,data/audio/test38.wav,i already submit the assignment tapi tak sure betul ke tak,ialreadysumeti imadevethat shewuddigit up
39,data/audio/test39.wav,kalau macam ni i think better we wait dulu,coomajony ithinkbetin
40,data/audio/test40.wav,dia cakap nak datang but suddenly cancel,dijacotnit atthem bysaindikencil
41,data/audio/test41.wav,this one ah quite hard to explain,disuinarquite heartlessblin
42,data/audio/test42.wav,you see first then tell me how,eusephus then tellmehow
43,data/audio/test43.wav,i not very sure about this one,i'mnotavery sureaboutdisone
44,data/audio/test44.wav,why suddenly cannot work already,why saidanycot wikorideed
45,data/audio/test45.wav,you do finish already or still doing,youto finnyshurydy or'still goin
46,data/audio/test46.wav,that time he say can now change again,lettimeshe seekcain nol change again
47,data/audio/test47.wav,this one ah got problem somewhere,disuennar gotbrodem somewhere
48,data/audio/test48.wav,you try again slowly can or not,you tryagain slowly cannonarm
49,data/audio/test49.wav,this one memang confusing i also lost,disjuanmiman confusing ialso was
50,data/audio/test50.wav,you boleh explain again slower tak,youwillesplean again slowethedup
51,data/audio/test51.wav,i thought dah betul but actually wrong,ithoughtaitol varecually wrong
52,data/audio/test52.wav,kalau like this then we redo everything,calonatdisthen wedyredo everything
53,data/audio/test53.wav,i check already tapi still got error,ichegoredi tapistegoereu
54,data/audio/test54.wav,maybe kita fix this part first,maybekeeto fixthesput firstslow
55,data/audio/test55.wav,dia say okay but i rasa something off,doyousee oqibueras something off
56,data/audio/test56.wav,i try follow step tu but tak boleh,trifleorupstep toobutawonee
57,data/audio/test57.wav,i think this part is slightly wrong lah,ithink despitely slightly wronglah
58,data/audio/test58.wav,the answer doesn’t really make sense,theanswer does only make servans
59,data/audio/test59.wav,i might have done this wrongly tapi tengok lah,imighthave done thiswronglythe pitingoa
60,data/audio/test60.wav,this looks okay but i tak berapa sure,dislooksokey butiabrupty shool
61,data/audio/test61.wav,we probably need to adjust this part sikit kot,we prob'bly meettoedge asthesparksy kickcourt
