id,audio_path,reference,wav2vec_finetuned_pred
1,data/audio/test1.wav,i think lah this one better we do tomorrow,i tingla dis one bet teitu to moro
2,data/audio/test2.wav,why you never reply my message just now,why you never we blamey maysis just now
3,data/audio/test3.wav,this part susah sikit i need more time,despart sussasci kid and eat morth nine
4,data/audio/test4.wav,you boleh tolong explain this part tak,you boleh tolong explain this partak
5,data/audio/test5.wav,i try already but still tak jalan,i try aredee but still tha yo letn
6,data/audio/test6.wav,maybe kita boleh buat cara lain,maybe kithi wi live wacerelan
7,data/audio/test7.wav,eh actually i think this one can lah,e actually i think thisone canla
8,data/audio/test8.wav,aiya i forgot to bring my laptop today,aya i forgot to wi my laptop guday
9,data/audio/test9.wav,hmm maybe we try again later,o waitin gain tired ganly gruw
10,data/audio/test10.wav,okay lah we do it this way,okay can thou regret this ray
11,data/audio/test11.wav,like that also can no problem,lake it also can lopabo
12,data/audio/test12.wav,i think benda ni boleh siap kot hari ni,i thieven lely bodisiaccor pyrini
13,data/audio/test13.wav,tadi lecturer explain laju sangat tak sempat nak faham,ta be lik ii spain tha jo sana thas'm bat nafraham
14,data/audio/test14.wav,kalau awak free kita boleh jumpa sekejap,allah ah afri tgeed the boy to vos of the dat
15,data/audio/test15.wav,assignment ni ambil masa lama sikit,i fin minte be muffe ta musky gap
16,data/audio/test16.wav,he promise nak hantar tapi sampai sekarang tak ada,he promised a handthought a piechiof vicacrip tade
17,data/audio/test17.wav,i don’t really get what the lecturer nak,i don't really get what electure in not
18,data/audio/test18.wav,this question very confusing sumpah,this question is very confusing supa
19,data/audio/test19.wav,i was supposed to finish this semalam,i was supposed to finish dis malom
20,data/audio/test20.wav,can you help me check if this is correct atau tak,can ye help me check if this is corette a dadat
21,data/audio/test21.wav,the instructions tak jelas,the instructions tat a nerse
22,data/audio/test22.wav,i think kita kena to redo this part,i think yo degenoridudi spat
23,data/audio/test23.wav,this place quite far lah need to drive,this place quite far la mit to drife
24,data/audio/test24.wav,you free later or not i want to ask something,you freely tonon and want to ask something
25,data/audio/test25.wav,today traffic damn bad i was late,te detrafic dam bet iwas lat
26,data/audio/test26.wav,i don’t really understand what the lecturer wants,i don't re understand what the lecturel wants
27,data/audio/test27.wav,this part i think we need to change a bit,this park i think we need to change a bif
28,data/audio/test28.wav,i was supposed to send it yesterday but forgot,i was so posely sended yesterday an but forgot
29,data/audio/test29.wav,the explanation not very clear honestly,the explanation not very clear honestly
30,data/audio/test30.wav,i already told you yesterday you forgot is it,i already toll you yesada you fogisi
31,data/audio/test31.wav,this food not bad lah but a bit expensive,yes we not badlaw bady bill expens him
32,data/audio/test32.wav,you wait for me five minutes can or not,wa for me fo mes can i not
33,data/audio/test33.wav,i’m very tired today didn’t sleep well,i'm very tired to deed insy well
34,data/audio/test34.wav,that one i don’t really understand honestly,thou and i don't reathe unditenanty
35,data/audio/test35.wav,saya rasa assignment ni susah sikit lah,ziasti as im any succescy now
36,data/audio/test36.wav,tadi dia cakap nak jumpa tapi tak confirm lagi,the eady cacon as you would hepedegoponi
37,data/audio/test37.wav,later kita pergi makan dulu then only discuss,le te he cul be ma eleu dead on the discussed
38,data/audio/test38.wav,i already submit the assignment tapi tak sure betul ke tak,i already summetis i made teve that she wuld dic it up
39,data/audio/test39.wav,kalau macam ni i think better we wait dulu,co no majony i think bet tin we me doyou
40,data/audio/test40.wav,dia cakap nak datang but suddenly cancel,di jacot night at them by san indikencil
41,data/audio/test41.wav,this one ah quite hard to explain,disin ar quite heartless blin
42,data/audio/test42.wav,you see first then tell me how,eusephus then tell me how
43,data/audio/test43.wav,i not very sure about this one,i'm not a very sure about dis one
44,data/audio/test44.wav,why suddenly cannot work already,why said any cot wick or ideed
45,data/audio/test45.wav,you do finish already or still doing,you to finny shurydy or still go in
46,data/audio/test46.wav,that time he say can now change again,let time he seek can nol change again
47,data/audio/test47.wav,this one ah got problem somewhere,disuenar got broem somewhere
48,data/audio/test48.wav,you try again slowly can or not,you try again slowly cannonarm
49,data/audio/test49.wav,this one memang confusing i also lost,disjuan miman confusing i also was
50,data/audio/test50.wav,you boleh explain again slower tak,you willyesplean again slower the dup
51,data/audio/test51.wav,i thought dah betul but actually wrong,i thought ta bitol varecually wrong
52,data/audio/test52.wav,kalau like this then we redo everything,callonat dis then wedyre do everything
53,data/audio/test53.wav,i check already tapi still got error,ichegoredi tapiste goereur
54,data/audio/test54.wav,maybe kita fix this part first,maybe ke to fix the sput first slow
55,data/audio/test55.wav,dia say okay but i rasa something off,do you see oqi bu erasu something off
56,data/audio/test56.wav,i try follow step tu but tak boleh,i trifle or upstep too but at wo ned
57,data/audio/test57.wav,i think this part is slightly wrong lah,i think despitely slightly wrong la
58,data/audio/test58.wav,the answer doesn’t really make sense,the answer does only make servants
59,data/audio/test59.wav,i might have done this wrongly tapi tengok lah,i might have done this wrongly the pe thingola
60,data/audio/test60.wav,this looks okay but i tak berapa sure,dis looks o key but ai the abruptly shol
61,data/audio/test61.wav,we probably need to adjust this part sikit kot,we prob'bly meet to edge as these sparksy kick court
