id,audio_path,reference,reference_ms,whisper_pred,wav2vec_pred,wav2vec_finetuned_pred,wav2vec_lm_pred,Whisper_mt,wav2vec_mt,wav2vec_finetuned_mt,wav2vec_lm_mt
1,data/audio/test1.wav,i think lah this one better we do tomorrow,saya rasa yang ini lebih baik kita buat esok,"i think la, this one better we do tomorrow.",i tingla tis one bet te itu to moro,i tingla dis one bet teitu to moro,itingladisone beteittomoro,"Saya rasa La, ini lebih baik kita lakukan esok.",Saya ingat ini satu pertaruhan untuk Moro,Saya ingat ini satu pertaruhan Teitu untuk Moro,Ia tidak boleh dihidangkan
2,data/audio/test2.wav,why you never reply my message just now,kenapa awak tak balas mesej saya tadi,why you never reply my message just now?,why you never we blame y maysis just now,why you never we blamey maysis just now,why youneverweblam ymaysisjust now,Kenapa awak tak pernah menjawab mesej saya sekarang?,Kenapa kau tak pernah kami menyalahkan y maysis sekarang,Kenapa kau tak pernah menyalahkan Maysis sekarang?,Kenapa kamu tidak pernah weblam ymaysis sekarang
3,data/audio/test3.wav,this part susah sikit i need more time,bahagian ini agak susah saya perlukan lebih masa,this part's susasi kid. i need more time.,despart sussasci kid and eat morth nine,despart sussasci kid and eat morth nine,despartsussaci kid morthnine,Saya perlukan lebih banyak masa.,Berlepas Susasci anak dan makan Mort Nine,Berlepas Susasci anak dan makan Mort Nine,Despartsussaci kanak-kanak mortin
4,data/audio/test4.wav,you boleh tolong explain this part tak,awak boleh tolong jelaskan bahagian ini tak,"you can help me explain this part, though.",you bulito loge splendi spite da,you boleh tolong explain this partak,yobulitologe splendispite dut,"boleh tolong saya jelaskan bahagian ini, walaupun.",kau bulito lodge splendi walaupun da,boleh tolong jelaskan partak ini,yobulitologe splendispite dut
5,data/audio/test5.wav,i try already but still tak jalan,saya dah cuba tapi masih tak menjadi,i tried already but still not,i try a redee but still that yo letn,i try aredee but still tha yo letn,i tryaredee but stillthayole,Saya sudah cuba tapi masih belum,Saya cuba untuk menebus tetapi masih bahawa yo letn,Saya cuba Aredee tetapi masih tha yo letn,Aku cuba tapi masihlah aku
6,data/audio/test6.wav,maybe kita boleh buat cara lain,mungkin kita boleh buat cara lain,maybe we can do it another way.,maybe kithi wil live wacerelan,maybe kithi wi live wacerelan,maybekithiwi livewacerla,Mungkin kita boleh buat dengan cara lain.,Mungkin kita mahu hidup di Wacerelan,Mungkin kita boleh hidup di sini,mungkin bekithiwi livewacerla
7,data/audio/test7.wav,eh actually i think this one can lah,eh sebenarnya saya rasa yang ini boleh lah,"actually, i think this one can laugh.",e atoly i think the slankin la,e actually i think thisone canla,eacholy ithinkteslankin la,"Sebenarnya, saya rasa yang ini boleh ketawa.","Saya rasa, dia adalah Slinkin La.",Sebenarnya saya fikir ini satu Canla,Setiap orang berfikir tentang la
8,data/audio/test8.wav,aiya i forgot to bring my laptop today,aiya saya terlupa bawa laptop hari ini,i forgot to bring my laptop today.,aya i forgot to wi myn tat pov guday,aya i forgot to wi my laptop guday,aya iforgotto wimylapovuda,Saya lupa bawa laptop saya hari ini.,Saya lupa untuk menunaikan solat hari ini.,Saya lupa untuk membawa komputer riba saya hari ini,Saya lupa untuk memilikinya.
9,data/audio/test9.wav,hmm maybe we try again later,hmm mungkin kita cuba lagi nanti,maybe we can try again later.,o waitin gain tired gainly gruw,o waitin gain tired ganly gruw,waitigintire,Mungkin kita boleh cuba lagi nanti.,o menunggu mendapat penat mendapat gruw,o menunggu mendapat letih dengan gruw,menunggu
10,data/audio/test10.wav,okay lah we do it this way,okay lah kita buat macam ini,okay now we do it this way,o cant thou regrat this ray,okay can thou regret this ray,ocanthou regreatthis ray,Okay sekarang kita lakukan dengan cara ini,Kau tak boleh menyesal dengan sinar ini,okay boleh awak menyesal dengan ray ini,Kau akan menyesal dengan sinar ini.
11,data/audio/test11.wav,like that also can no problem,macam itu pun boleh tiada masalah,like that also can no problem,lake it also can lopau bo,lake it also can lopabo,lakitalsoca lopabo,seperti itu juga tidak boleh masalah,tasik juga boleh lopau bo,tasik juga boleh lopabo,lakitalsoca lopabo
12,data/audio/test12.wav,i think benda ni boleh siap kot hari ni,saya rasa benda ini boleh siap hari ini kot,i think the nany body shot gotanda really,i thieven lely bodisiaccor phyrini,i thieven lely bodisiaccor pyrini,itieveebodisiac corphyrini,Saya rasa mayat yang ditembak oleh Nany Gotanda benar-benar,I pencuri Lily bodisiaccor phyrini,I pencuri Lily bodisiaccor pyrini,corphyrini
13,data/audio/test13.wav,tadi lecturer explain laju sangat tak sempat nak faham,tadi pensyarah jelaskan terlalu laju tak sempat faham,now,tha de lik ii spain tha do sana thasam bat nafraham,ta be lik ii spain tha jo sana thas'm bat nafraham,tabelikispain tajosantasbat nafraham,Sekarang,Tha de lik ii spain tha do sana thasam bat nafraham,Saya akan suka Sepanyol dan saya akan cuba untuk menjadi seorang yang baik.,Tabelikispain tajosantasbat nafraham
14,data/audio/test14.wav,kalau awak free kita boleh jumpa sekejap,kalau awak free kita boleh jumpa sekejap,if it's not fit we can try it for a while,allah ah afri tgeed the boy to vos of the dat,allah ah afri tgeed the boy to vos of the dat,allahahlafri theboytovos thedat,"Jika tidak sesuai, kita boleh cuba untuk sementara waktu.",Allah Arif Tgeed kanak-kanak untuk anda dari tarikh,Allah Arif Tgeed kanak-kanak untuk anda dari tarikh,Allah mengasihi mereka.
15,data/audio/test15.wav,assignment ni ambil masa lama sikit,assignment ini ambil masa agak lama,the fine money i'll bring your master withけど,i in minthe be muffer ta musky gap,i fin minte be muffe ta musky gap,ifiinebmufea muskygape,Duit yang baik saya akan membawa tuan anda denganけど,Saya dalam minthe akan muffer musky jurang,Aku akan terus bersemangat untuk menjadi seorang yang baik,Ifenibmufea muskygape
16,data/audio/test16.wav,he promise nak hantar tapi sampai sekarang tak ada,dia janji nak hantar tapi sampai sekarang tak ada,"now, something to write. now you sit down at least 3 minutes knowing what to write",he promised a hand thought a piecion vicacri tade,he promised a handthought a piechiof vicacrip tade,he promisedahand thoughtapiciof vicacritade,"Sekarang, sesuatu untuk ditulis. Sekarang anda duduk sekurang-kurangnya 3 minit mengetahui apa yang perlu ditulis",Dia berjanji untuk memberi bantuan. Dia fikir untuk memberikan bantuan.,Dia berjanji untuk memikirkan satu piechiof vicacrip tade,Dia berjanji akan menolong saya walaupun dia akan menolong saya.
17,data/audio/test17.wav,i don’t really get what the lecturer nak,saya tak begitu faham apa yang pensyarah nak,i don't really get what they like to do not.,i don't really get what electure i not,i don't really get what electure in not,idon't reallyget whatelectur,Saya tak faham apa yang mereka suka buat.,Saya tidak benar-benar mendapat pilihan raya apa saya tidak,Saya tidak benar-benar mendapat apa pilihan raya dalam tidak,Saya tidak akan mendapat apa pilihan raya
18,data/audio/test18.wav,this question very confusing sumpah,soalan ini sangat mengelirukan sumpah,"this question is very confusing, soopa.",this question is very confusing supa,this question is very confusing supa,this question is very confusing supa,"soalan ini sangat membingungkan, Soopa.",soalan ini sangat membingungkan,soalan ini sangat membingungkan,soalan ini sangat membingungkan
19,data/audio/test19.wav,i was supposed to finish this semalam,saya sepatutnya siapkan ini semalam,i was supposed to finish this malam.,i was supposed to finish dis malom,i was supposed to finish dis malom,iwassupposed to finishismalom,Saya sepatutnya menyelesaikan malam ini.,Saya sepatutnya menyelesaikan dis malom,Saya sepatutnya menyelesaikan dis malom,Saya sepatutnya selesai dengan ini.
20,data/audio/test20.wav,can you help me check if this is correct atau tak,boleh tolong semak ini betul atau tidak,can you help me check if this is correct or not?,can ye help me check if this is corette a dadat,can ye help me check if this is corette a dadat,canye help mechekftisis corettadada,boleh tolong saya periksa apakah ini betul atau tidak?,Boleh kau bantu saya memeriksa jika ini Corette a dadat,Boleh kau bantu saya memeriksa jika ini Corette a dadat,boleh bantu saya buat apa-apa
21,data/audio/test21.wav,the instructions tak jelas,arahan itu tak jelas,the instructions touch a less.,the instructions tat a nerse,the instructions tat a nerse,theinstructions tatanerse,arahan menyentuh kurang.,arahan itu tidak sesuai,arahan itu tidak sesuai,arahan tatanerse
22,data/audio/test22.wav,i think kita kena to redo this part,saya rasa kita kena buat semula bahagian ini,i think it's gonna redo this part,i think you tegenoridudi spat,i think yo degenoridudi spat,i thinkyodenori dudispat,Saya rasa ia akan buat semula bahagian ini,Saya rasa anda tegenoridudi berbual,Saya rasa awak degenoridudi berbulat,Saya fikir Yodenori Dudispat
23,data/audio/test23.wav,this place quite far lah need to drive,tempat ini agak jauh kena memandu,"this place quite far along, need to drive.",this place quite far la mit to drife,this place quite far la mit to drife,thisplace quitefarla mittodrife,"tempat ini agak jauh, perlu memandu.",Tempat ini agak jauh untuk mengemudi,Tempat ini agak jauh untuk mengemudi,Tempat ini agak jauh dari tempat yang diarahkan.
24,data/audio/test24.wav,you free later or not i want to ask something,awak free nanti atau tidak saya nak tanya sesuatu,you free later or not. i want to ask something.,you freely tonot and want to ask something,you freely tonon and want to ask something,youfreely tornon and want to asksomething,Kau boleh lepas nanti atau tidak. Aku mahu bertanya sesuatu.,anda bebas berbual dan mahu bertanya sesuatu,Anda bebas tonon dan mahu bertanya sesuatu,Anda bebas berbalik dan mahu bertanya sesuatu
25,data/audio/test25.wav,today traffic damn bad i was late,hari ini trafik sangat teruk saya lambat,today traffic damn bad. i was late.,the detrafic dam bet i was lat,te detrafic dam bet iwas lat,tedetrafficdambet iwaslat,Hari ini trafik teruk. Saya lewat.,Peranti penghalang trafik yang saya bet,Tape yang bermasalah pasti saya dah lewat,Perjalanan di Malaysia
26,data/audio/test26.wav,i don’t really understand what the lecturer wants,saya tak begitu faham apa yang pensyarah mahukan,i don't really understand what the lecturer wants.,i don't re understand what the lecturel wants,i don't re understand what the lecturel wants,idon'treunderstand what lecturel wants,Saya tak faham apa yang ingin guru itu.,Saya tidak faham apa yang mahu kuliah,Saya tidak faham apa yang mahu kuliah,Saya tidak faham apa yang mahu lecturel
27,data/audio/test27.wav,this part i think we need to change a bit,bahagian ini saya rasa kita perlu ubah sikit,this part i think we need to change a bit.,this part i think we need to change a bief,this park i think we need to change a bif,thispark i think we needtochange abif,Saya rasa kita perlu mengubah bahagian ini sedikit.,Saya rasa kita perlu menukar bahagian ini,Taman ini saya fikir kita perlu menukar bif,Taman ini saya fikir kita perlu menukar Abif
28,data/audio/test28.wav,i was supposed to send it yesterday but forgot,saya sepatutnya hantar semalam tapi terlupa,i was supposed to send it yesterday but forgot.,i was so posely sended yesterday an but forgot,i was so posely sended yesterday an but forgot,i wassoposely ended yesterday butforgot,Saya sepatutnya hantarnya semalam tapi lupa.,Saya telah dihantar dengan baik semalam tetapi lupa,Saya telah dihantar dengan baik semalam tetapi lupa,Saya sudah selesai semalam tapi lupa
29,data/audio/test29.wav,the explanation not very clear honestly,penjelasan itu tidak begitu jelas sebenarnya,"the explanation, not very clear honestly.",the explanation not very clear honestly,the explanation not very clear honestly,theexplanation notvery clear honestly,"penjelasan, tidak begitu jelas jujur.",penjelasan tidak begitu jelas jujur,penjelasan tidak begitu jelas jujur,Perkataan tidak begitu jelas jujur
